0.9909	-0.0075	0.1767	-0.1504	-0.1298	-0.0104	0.5495	-0.7911	0.0099	0.1322	-0.0243	0.0114	-0.2014	-0.0622	0.2980	-0.0745
-0.1076	0.0934	0.0236	0.0379	0.1058	0.1608	0.0392	0.4220	-0.0157	-0.0063	-0.0313	-0.0721	0.0135	0.4865	0.0203	-0.0155
-0.0392	-0.7213	0.0031	-0.0222	0.0156	-0.1292	-0.0311	-0.0250	0.0068	0.0625	-0.0242	0.0826	-0.2331	-0.0284	-0.0172	0.1703
-0.6120	0.0882	-0.3516	-0.0648	0.1586	0.0852	0.2050	0.0723	0.3533	0.2419	0.1830	-0.0735	0.1198	0.0049	-0.0532	-0.0155
0.0107	0.1048	0.0251	-0.2432	0.0654	0.4460	0.1278	-0.0263	0.5586	0.0429	0.0428	0.2083	-0.2579	0.0826	0.0006	-0.1342
-0.0485	0.0351	-0.7466	-0.0502	-0.3527	-0.3389	0.0038	0.0260	-0.1174	-0.0221	0.0292	-0.0547	-0.0195	-0.0833	0.8972	0.0072
-0.0221	-0.0577	-0.0184	0.0662	0.1626	0.4333	-0.0009	-0.0079	0.0098	0.1067	0.0082	0.1125	0.2947	0.0115	0.0440	-0.7094
0.2404	0.0632	-0.0350	-0.0187	-0.0352	-0.1132	-0.0260	-0.0660	-0.0147	0.5945	0.1460	0.0305	-0.0023	-0.0150	-0.0472	-0.1536
0.3106	-0.1045	0.4053	-0.0573	0.1665	0.3079	0.0114	0.0164	0.1447	0.0056	0.1620	0.0022	0.2624	-0.3649	0.0575	0.0520
0.0547	0.0379	0.0189	0.0174	0.4889	-0.6480	-0.0286	0.1349	-0.0063	-0.1041	-0.5107	-0.0975	-0.4233	0.1646	0.2535	-0.0137
-0.0379	-0.1773	-0.0246	-0.0381	-0.0102	-0.0570	0.9871	-0.0497	-0.0444	-0.0578	1.1048	0.3418	-0.3810	0.5906	0.0484	-0.0981
-0.1002	-0.0143	-0.0559	0.0259	-0.1119	1.7186	0.0364	0.0627	-0.0836	-0.0168	0.3129	0.0125	-0.1323	-0.0737	0.5177	0.0568
-0.1611	0.3580	-0.0440	-0.0500	-0.0681	-0.1427	0.0510	-0.1184	-2.2444	0.1982	-0.0304	-0.3455	0.5868	0.0262	0.0424	-0.1455
0.0462	-0.6516	0.0193	0.2035	-0.0636	-0.0234	-0.0094	-0.0033	-0.0061	-0.0273	-0.0549	0.2837	-0.3478	-0.1303	-0.0229	0.2564
-0.8762	0.2779	-0.1264	-0.7057	0.6051	-0.0034	-0.1642	-0.0940	0.0366	-0.0290	0.0195	0.8090	0.0675	0.0561	-0.2576	-0.0004
-0.0848	-0.2225	-1.2492	0.0664	-0.2133	0.0930	0.2316	0.0095	-0.0291	0.0715	0.0095	-0.0759	0.0656	-0.2281	0.0674	0.0023
-0.0178	0.0947	0.0470	-0.0797	0.0787	0.1648	0.1992	0.0385	0.2277	-0.2331	-0.5489	-0.0850	-0.0611	0.0948	-0.0056	0.0437
-0.0546	-0.4638	0.0900	-0.1532	-0.0518	-0.0068	0.0039	-0.6009	0.0652	-0.0917	0.0252	0.0229	-0.1584	-0.0374	-0.0323	-0.5748
0.0119	0.1386	0.0931	-0.0164	-0.0233	-1.1690	-0.0502	-0.0089	-0.0421	0.1788	0.2244	-0.0036	0.0420	-0.0162	-0.1541	0.6694
-0.0273	0.3482	-0.1141	-0.1247	0.0347	0.3117	0.1411	0.0099	-0.2254	0.0278	0.0415	-0.0776	0.0170	0.3056	-0.0486	0.0398
0.0960	0.0427	-0.0732	-0.0643	-0.1035	0.0385	-0.5929	-0.0143	-0.0964	-0.6780	0.3195	0.0552	0.0487	0.3556	-0.0133	0.3296
0.1766	0.0369	0.0123	0.0456	0.1316	1.0854	0.3492	0.0860	0.0912	0.0795	-0.0652	0.1435	-0.0063	0.0142	0.0391	-0.0640
-0.3224	0.5219	-0.0888	0.0410	-0.0802	-0.0470	-0.6664	0.1060	-0.0048	-0.0755	0.0681	0.9149	0.0507	0.0992	0.0033	0.1183
-0.0928	0.0221	0.0831	-0.0306	-0.1346	-0.0015	-0.7571	-0.1663	-0.0262	-0.0165	0.2133	-0.2585	-0.0118	0.0782	0.0712	-0.0426
-0.0116	0.0312	-0.0353	0.1264	-0.0322	0.5016	0.0098	0.0582	-0.0607	0.1689	-0.2579	-0.0031	0.0066	-0.9318	-0.0090	0.1432
0.6015	-0.5483	-0.0332	-0.0921	1.0800	0.1357	0.2052	-0.0844	-0.4542	0.0974	-0.1696	0.0822	-0.1893	-0.4410	0.0144	0.1556
0.0296	-0.1115	-1.0654	0.0652	0.0048	0.0356	-0.0970	-0.2139	-0.0249	0.1420	-0.0888	-0.0413	0.0054	-0.0144	0.0691	0.3939
-0.3256	-0.0160	-0.1052	-0.4238	-0.5175	0.0441	0.2773	-0.1215	0.9219	0.0488	-1.7980	-0.1410	0.1608	0.1649	-0.0206	0.2125
-0.0025	0.0148	0.0631	0.0081	0.6736	-0.0848	0.1215	0.1491	-0.0680	-0.3399	-0.4212	-0.0864	-0.0526	-0.2035	-0.0521	0.1458
-0.1138	-0.0439	-0.5633	-0.0842	-0.0182	0.6448	-0.0554	-0.0377	-0.0976	0.0492	0.5810	-0.0077	0.0711	0.1248	0.0476	0.0443
-0.1454	-0.3952	0.0662	1.3345	0.8458	-0.0811	-0.1932	0.1113	-0.0461	-0.3066	-0.0648	-0.0953	0.0866	-0.0126	-0.5945	-0.3731
0.1349	-0.1895	0.2929	0.9592	0.6641	-0.0753	-0.2141	0.0918	-0.5123	0.1361	0.0228	0.1333	0.0156	0.0719	-0.0387	-0.2420
-0.5778	-0.0095	0.1999	0.0632	0.3314	0.1280	0.0848	-0.3579	-0.0321	0.0937	-0.0377	0.1803	0.0436	-0.0072	0.1254	-0.0578
-0.0100	-0.7332	0.0148	-0.0720	0.0109	0.1498	0.0493	-0.0140	0.2008	1.2727	0.1942	-0.4711	-0.0078	0.0264	0.0275	-0.3917
-0.1290	0.0040	0.2240	0.0672	0.0365	-0.0621	0.0808	0.0371	-1.3508	0.0199	-0.0696	-0.1258	-0.0766	-0.0611	0.0536	0.0463
-0.0000	0.5978	-0.7028	-0.0078	0.0703	0.1230	0.0297	0.0745	-0.2943	0.0229	-0.1963	-0.0643	0.3709	0.0549	-0.0100	0.1831
0.0840	0.0759	0.0118	-0.0739	0.0044	-0.0309	0.0310	0.2949	-0.0841	0.1819	-0.0868	0.0625	-0.2998	0.2834	0.0668	0.0388
0.7504	-0.1297	-0.2260	0.0000	0.2399	0.0296	-0.4940	0.4650	-0.7395	-0.3274	1.2167	0.1013	-0.0938	-0.6138	-0.0635	0.1907
0.0639	0.0195	-0.1498	-0.3363	-0.0015	-0.0505	0.0513	1.2692	0.0263	-0.0990	-0.0894	-0.2247	-0.2526	0.3685	-0.0144	-0.6266
-0.1675	0.0201	-0.1455	-0.0296	-0.0183	-0.4725	0.0233	-0.6567	-0.1031	0.1262	-0.0612	-0.3216	-0.1077	-0.2733	1.1913	0.0579
0.1809	-0.9217	-0.0181	0.0597	-0.0921	0.0784	-0.0293	0.0193	-0.0143	0.0832	-0.0147	-0.0002	-0.1515	0.9185	0.4600	-0.0448
0.8135	0.4181	0.0721	-0.0352	0.1736	-0.0472	0.0355	0.0722	0.0870	0.0420	0.2190	0.1347	-0.0870	0.0678	0.2942	-0.1526
-1.0151	0.0671	-0.0405	-0.1536	1.0438	0.0396	0.3319	-0.1343	-0.0252	-0.0499	-0.0115	0.0031	0.0073	0.0967	-0.0653	0.0369
-0.0392	0.0064	-0.1028	-0.1608	0.1539	-0.0453	-0.0287	-0.0554	-0.1209	-0.0658	-0.0030	0.0072	0.5962	0.0566	-0.0638	-0.0076
0.0852	-0.0171	-0.0361	-0.2633	0.0019	-0.1031	-0.0295	0.0487	0.0276	-0.0702	-0.3378	1.4818	0.1202	-0.0355	-0.0824	0.0520
-0.3486	-0.7662	0.1758	-1.2075	0.1141	-0.1639	-0.3132	-0.7081	0.0691	0.1352	0.1412	0.2020	0.0156	0.1244	-0.6457	-0.1285
0.3848	-0.2551	-0.2498	0.6502	-0.1539	-0.0135	0.5556	-0.3631	0.1142	0.0364	-0.1287	0.1882	-0.1192	-0.2261	-0.1622	-1.2273
-0.0846	-0.1097	-0.1003	-0.7944	-1.4858	-0.1146	-0.0862	-0.2264	0.0168	-0.1708	0.1504	-0.1172	0.0063	0.0063	-0.1731	0.1115
0.1278	-0.4081	-0.1417	-0.8664	0.0346	-0.4985	0.1461	0.0391	-0.1373	-0.0796	0.0693	-0.1075	-0.0302	-0.0083	0.0141	0.9883
-0.0453	0.0277	-0.0036	-0.2975	0.1154	-0.1034	-0.0056	-0.0223	-0.0337	-0.0549	0.0547	-0.1260	0.2843	-0.0177	-0.5685	0.0656
0.0246	-0.0634	0.0190	0.2937	-0.2842	0.8522	-0.0503	0.4625	0.0535	0.0207	0.0053	-0.0227	-0.1145	-0.0544	-0.0245	-0.2569
0.5571	0.0256	-0.1329	-0.1572	0.0668	0.7188	0.4195	0.0110	-0.6330	-1.1910	0.1515	-0.4153	-0.0030	-0.0074	-1.2660	0.2220
-0.0342	0.0304	0.1100	0.0924	-0.6172	-0.0038	-0.0095	0.8424	0.1882	-0.0307	-0.0497	0.0648	-0.0461	-0.0578	0.0398	-0.0698
-0.0475	-0.1675	0.1850	-0.1111	-0.0229	-0.0732	0.0453	-0.1786	0.0516	0.0213	0.1206	0.0484	-0.0184	0.0926	-0.0191	-0.0714
0.1808	0.0018	0.0158	-0.1026	0.9969	-0.0687	0.6374	0.0544	-0.0477	-0.4193	-0.1362	-0.4660	0.0163	0.0411	-0.0297	-0.0258
0.1096	0.0499	0.1043	0.0621	0.0666	0.1036	-0.0433	-0.0718	0.6584	0.1697	0.1000	0.0584	-0.2135	0.0150	-0.0990	1.2969
0.3354	0.1124	0.0405	-0.3430	-0.0519	0.3097	0.0625	-0.0056	-0.0085	0.0544	0.2320	0.0717	-0.1008	0.0042	0.9287	0.0603
0.0299	-0.0034	0.0187	0.1092	-0.0469	-0.0246	0.0155	0.0404	0.0644	-0.0633	-0.3250	-0.4757	-0.0256	-0.4661	0.1089	0.1523
-0.2272	0.0441	-0.6276	0.2117	-0.0137	-0.2345	0.4606	-1.8765	0.0371	-0.2507	0.0932	-0.0522	0.1331	-0.0971	0.2289	0.0828
0.2783	-0.0080	-0.3339	0.0342	-0.1362	-0.5696	-0.4667	0.0404	-1.0345	0.0007	-0.0331	0.0855	-0.1118	0.0092	0.0194	-0.6215
0.1585	0.0039	0.4278	-1.6861	0.0090	0.0560	-0.1287	0.1039	-0.0599	0.2033	-0.2760	0.7182	-0.0493	-0.5838	0.0052	-0.0247
0.0688	0.0661	-0.2179	-0.0597	-0.6660	-0.0176	0.0313	-0.1269	-0.0296	0.2234	-0.1401	0.1832	-0.0540	0.2533	-1.1113	0.2176
0.0558	-0.0001	-0.0288	0.0326	0.0043	-0.0367	-0.0721	-0.2145	-0.0155	-0.6374	0.0507	0.8441	0.0870	-0.1182	0.0175	-0.0760
0.0314	0.0814	0.0864	-0.0440	0.0024	-0.0332	0.0547	0.0202	-0.0233	-0.2350	-0.7765	0.0174	0.0584	-0.2895	-0.0238	0.1027
-0.0013	0.1756	-0.0483	-0.0015	-0.7540	-0.0645	0.2827	0.0221	-0.1915	0.0968	-0.2213	-0.3052	0.0092	1.0802	-0.0348	0.3992
0.0713	-0.7387	-0.1859	0.0727	-0.0947	-0.7910	-0.0000	0.1011	-0.0167	0.1448	-0.0815	-0.0555	-0.0284	-0.0368	-0.1039	0.3295
0.4316	0.0362	-0.0219	-0.1649	-0.0526	0.0701	-0.5866	-0.9595	-0.0620	0.4434	0.0268	0.0049	-0.4087	0.0160	0.7288	0.3002
0.0666	-0.2457	-0.3364	0.0344	-0.0252	-0.2027	0.0076	-0.0022	-0.0391	0.3487	-0.0505	0.0339	-0.0872	0.0060	-1.1613	0.0267
0.2735	-0.0994	-0.0434	-0.0334	-0.0236	-0.0680	0.3490	0.2002	-0.0262	-0.0528	-0.1955	-0.1178	0.1474	-0.0043	0.0582	0.3648
0.0256	-0.0003	-0.0650	0.0818	-0.0938	0.0335	0.1022	0.0650	0.0412	0.3345	-0.0683	0.0573	-0.0236	-0.3169	-0.0538	-0.1773
0.0065	0.0728	-0.0549	-0.8566	2.0270	-0.3449	0.1681	-0.1576	-0.1082	0.7081	-0.3164	-0.1203	-0.1476	0.1237	0.0125	-0.0066
0.0841	0.2580	-0.3441	-0.0555	-0.0146	0.0889	-0.0530	-0.1272	0.1109	0.1525	0.5821	0.0410	0.0314	0.0400	-0.0021	0.0281
0.0074	0.2954	-0.0756	-0.0617	-0.0490	-0.1193	0.0918	-0.0654	0.0760	0.2798	0.0067	0.0232	0.0060	-0.1970	-0.0977	-0.5084
0.2764	0.1567	-0.1153	-0.0250	-0.0177	0.3475	-0.0723	-0.4381	-0.2772	-0.3425	-0.2576	-0.0183	0.1101	0.0297	0.0359	0.0070
-0.0294	0.0681	-0.0740	-0.0378	0.0066	-0.0368	0.2922	-0.0455	-0.7358	-0.2929	-0.0527	-0.2068	-0.1368	0.0767	-0.9206	0.1394
-0.0223	0.0713	-0.1777	0.0277	-0.1352	0.0302	-0.0071	0.3416	0.0071	0.0715	-0.0529	0.0064	0.0070	-2.0539	-0.0921	-0.1363
-0.0269	0.0399	0.0450	-0.0613	0.0474	-0.0081	0.0346	-0.0320	0.1981	-0.0204	-0.0778	0.0053	-0.7768	-0.0977	0.0113	0.0542
-0.1027	-0.0137	-0.9139	-0.0630	-0.0377	0.0809	0.6553	0.0150	-0.1994	0.0925	0.0591	-0.2288	0.1034	-0.0371	0.0581	-0.2351
0.0870	0.0848	-0.1091	0.1420	-1.3391	-0.0451	-0.3289	0.0034	-0.0138	0.2459	-0.8508	-0.4821	-0.2071	0.1379	0.0030	0.0398
0.1221	-0.0252	0.0253	-0.0839	-0.0815	-0.2091	-0.0820	0.0435	0.2531	-0.1289	0.0984	0.1979	1.7638	0.1323	-0.1900	-0.8277
-0.0909	0.0082	-0.0583	0.1057	0.0779	0.0285	-0.2443	-0.0342	0.0920	0.5772	0.0900	0.0133	0.1361	0.1288	-0.1200	0.6239
-0.4634	0.1072	0.0284	0.0940	-0.0118	-0.4073	0.1401	0.6306	-0.5432	-0.0323	0.0184	0.2927	-0.0107	-0.0269	0.4330	0.0594
0.0116	0.0741	-0.0360	0.1442	-0.0646	-0.0696	-0.0065	-0.7186	-0.0606	0.0089	0.1529	0.0243	-0.2047	0.0146	0.0190	-0.5547
0.0754	0.0392	-0.0301	0.0421	-0.0949	0.2505	-0.0294	0.0707	0.0337	-0.0064	-0.3537	0.0092	0.0499	0.0207	-0.0236	-0.0072
-0.5814	0.7845	-0.0641	-0.0686	0.1619	0.0350	-1.9489	0.0800	0.0651	0.4488	-0.1801	-0.0418	0.0808	0.1093	0.0280	0.0507
-0.8241	-0.5105	0.1559	0.0604	-0.1058	0.0239	-0.0224	-0.1597	-0.1099	0.5311	0.0331	-0.1838	-0.1064	-0.0313	0.0145	-0.0424
-0.0219	-0.0675	-0.0034	0.2178	-0.1484	-0.3408	0.1495	0.1692	-0.0734	-0.0570	-0.0573	-0.1285	0.1488	0.0172	-0.1371	1.0749
0.1418	0.0137	0.0079	-0.5600	-0.0544	0.0058	0.0591	0.0637	0.7849	-0.1875	0.0541	0.4385	-0.0212	0.0853	-0.0120	-0.1223
-0.0391	-0.0286	-1.5926	0.0879	-0.0241	0.0116	-0.0308	0.2048	-0.0833	0.4064	-0.0365	0.0596	-0.7748	0.1394	-0.1524	-0.2125
-1.8286	-0.0501	-0.0755	0.1151	-0.1859	-0.0432	-0.0815	0.1041	-0.1922	-0.1647	-0.1024	0.2270	-0.0096	-0.0671	-0.0281	0.6468
-0.8941	-0.0719	0.7185	-0.0911	-0.5082	-0.1295	-0.0310	0.2586	-0.1372	-0.0010	-0.0115	-0.0537	-0.0465	-0.1045	-0.0355	0.0508
-0.0238	0.5143	-0.0337	-0.0755	-0.0307	-0.1032	-0.0739	0.0157	-0.0787	0.0434	-0.8694	-0.1127	0.1141	-0.1331	-0.0713	-0.2813
0.7587	0.1710	-0.0053	-0.0887	0.0226	-0.0881	0.0424	-0.2835	-0.1526	0.0260	0.0122	-0.0749	-0.0071	-0.0343	-0.0807	0.0784
-0.0708	0.3798	-0.0607	0.0644	0.0754	0.0269	0.1253	0.3976	-0.7459	0.1453	-0.0572	-0.0607	-0.0321	0.1163	0.0536	0.2731
-0.1393	0.0244	0.0744	0.0180	-0.1516	-0.0416	-0.2179	-0.0493	0.3797	-0.0621	1.4808	-0.2009	-0.2066	0.1405	-0.0916	0.1180
0.2338	0.0198	0.1899	0.3350	-0.0677	-0.3225	-0.1110	0.1344	0.0031	-0.0415	0.0507	0.1374	0.0382	-0.0355	-0.0811	0.2100
-0.1005	0.0114	-0.0005	-0.0530	0.0363	0.0413	0.0577	-0.0704	-0.0645	0.0638	-0.0903	-0.8566	-0.1862	0.0556	0.0246	0.0132
-0.0405	-0.4509	0.0918	0.7665	-1.0484	-0.6322	0.2188	0.1715	0.0276	-0.2689	0.0390	0.0713	0.0907	-0.0016	0.0129	-0.1356
1.1953	-0.0099	0.2520	-0.2906	-0.0033	0.0911	0.1594	-0.1393	-0.0145	0.2534	0.0277	-1.4740	1.1325	0.0040	-0.2475	0.0009
0.0080	-0.0729	-0.0215	0.0279	-0.1202	-0.0470	0.0732	-0.1000	0.0538	0.9155	-0.7496	0.0036	0.2010	-0.1085	-0.2372	-0.1859
0.8561	-0.5755	-0.0702	-0.0516	-0.3534	0.2504	-0.1364	-0.0544	-0.0468	-0.0046	0.2382	0.1235	0.0879	0.3709	-0.3205	0.0574
-0.0799	-0.3797	-1.9323	0.1593	-0.0762	0.0512	-0.1535	-0.2452	1.5841	-0.6758	-0.0788	-0.1313	0.2806	0.1078	0.1906	0.0535
0.6637	0.7730	-0.0204	-0.0259	-0.0581	-0.0453	0.5373	0.1000	0.0242	0.1019	-0.0279	0.3635	0.0025	-0.0523	0.2939	0.0856
0.0127	0.1606	0.0434	-0.4201	-0.0635	0.0183	-0.0792	1.0803	0.0882	-0.2283	0.4070	0.1037	-0.2444	0.6695	-0.0713	-0.5465
-1.4450	-0.0103	-0.1145	-0.0344	0.1616	0.0508	-0.5062	0.0755	-0.2397	-0.5320	-0.4036	0.0090	-0.3374	0.0377	0.1238	0.0766
-0.1338	0.2041	0.1856	0.7456	0.0026	0.0774	-0.0405	-1.0618	0.3795	-0.0492	0.0176	-0.0572	-0.3155	-0.1657	0.0178	-0.0714
-0.6880	-0.3404	0.0154	0.1586	0.0708	0.0760	0.2951	0.3820	0.5205	-0.0513	1.2640	-0.1291	0.1258	-0.1843	0.2947	1.2340
-0.0163	0.0498	0.0569	-0.3679	0.5633	0.2243	0.0021	0.0098	0.1319	-0.0214	0.2285	0.0354	0.0175	0.0527	-0.6013	-0.1163
-0.3182	0.0200	0.0008	0.0840	0.0344	0.0756	-0.3841	-0.0235	0.0332	-0.0828	-0.0736	-0.0205	0.1010	-0.8905	-0.0265	0.0102
0.1882	0.0544	0.0694	0.8482	0.3105	0.0251	0.0077	0.0550	-0.0323	-0.3380	-0.0705	-1.9187	-0.3019	-0.0688	-0.0086	0.1708
0.0366	-0.2526	0.0665	0.3349	-0.0712	0.0661	0.0275	-0.0895	0.0153	0.0539	-0.1148	0.0232	-0.2628	0.0803	-0.0617	0.1475
-0.0116	-0.0061	-0.0616	0.1550	-0.0693	-0.0157	0.0520	1.1125	-0.0045	0.4128	0.0105	-0.3031	-0.0343	-0.0364	0.0538	-0.2520
0.0631	0.0951	0.2579	-0.2767	-0.0181	0.4448	0.0160	-0.2002	-0.7902	0.0396	-0.1898	0.0182	-0.1610	0.9645	0.0218	0.0733
-0.0582	-0.7110	0.6074	0.7650	0.4540	0.0027	-0.0474	0.0962	0.0083	0.0495	-0.0188	-0.0337	0.0766	0.5840	-0.0459	0.1350
-0.1583	0.0882	-0.0849	-0.3740	-0.0487	-0.0555	-0.0348	-0.1802	0.4973	-0.2934	0.3026	-0.8812	0.4680	0.0026	0.3410	-0.9343
-0.0087	-0.2612	0.1380	-0.0407	0.7619	-0.6550	0.1053	-0.0644	0.5371	0.0255	-0.1210	0.1022	0.1877	0.0423	-0.2201	-0.0032
-0.0267	-0.0522	0.6245	-0.0274	-0.0496	0.1057	-0.0133	0.0435	-0.0356	-0.0783	0.0228	-0.1069	-0.1100	-0.0217	-0.0042	-0.1195
0.0964	0.0255	-0.0034	-0.8174	-0.0380	-0.1687	0.0298	-0.1317	0.1145	0.0097	-0.0223	-0.6966	-0.0980	0.3685	0.3455	0.0187
-0.2902	0.0105	-0.0173	-0.7125	0.0082	0.0078	-0.0075	0.2311	0.0349	-0.0097	0.3002	-0.0186	-0.1231	0.0482	-0.7221	-0.0598
0.0284	0.0728	-0.0565	-0.7131	-0.0909	-0.0408	-0.0190	-0.1405	-0.0692	-0.0429	-0.0214	0.4786	0.1367	-0.0259	-0.0416	-0.0474
0.0813	-0.6484	0.0522	0.0721	-0.1158	-0.0585	-0.0244	0.0985	-0.1211	0.5246	0.2057	0.1921	-0.0331	-1.2822	0.0608	0.0511
0.0471	-0.0203	1.6025	-0.0682	0.0220	-0.1286	-0.4037	0.0072	-0.0128	-0.0773	-0.0185	0.0246	-0.1411	0.9389	-0.4511	-0.4131
0.4898	-0.0669	0.1766	-0.2060	-0.0586	-0.1390	-0.4592	-0.0784	0.0693	-0.1304	0.0584	-0.9368	0.6976	-0.0074	0.6272	-0.5545
-0.0258	0.0244	-0.0881	0.0031	0.0067	0.7352	0.1218	-0.0575	-0.2173	0.3221	0.0027	-0.0140	-0.0345	0.7638	-0.4259	-0.0999
0.0008	0.0524	-0.1394	0.0145	-0.0008	0.0037	-0.0049	0.0398	-0.2036	-0.4159	0.0359	0.3645	-0.1772	0.0572	-0.6040	-1.1210
-0.0969	-0.1502	0.0576	0.0362	0.2653	-0.0412	0.1091	-0.1569	-0.0571	-0.0341	-0.0456	-0.0145	-0.3036	-1.4487	-0.0904	-0.0690
0.0456	-0.2319	0.0950	-0.0404	0.1632	0.0798	0.0383	-0.4249	-0.0512	-0.0901	-0.0021	0.0769	-0.0875	-0.0036	-0.0492	-0.0032
0.5059	0.3405	-0.0220	0.2938	0.1192	-0.1600	-0.3399	0.1636	-0.0611	0.2947	-0.0561	0.0677	-0.0255	0.0319	-0.1186	0.1652
-0.0250	0.0510	-0.2858	-0.0387	-0.0343	0.0471	0.0525	0.0447	-0.0321	-0.1251	-0.0505	0.0289	0.0761	0.0814	0.0793	0.0409
-0.0543	-0.0102	-0.3870	-0.0015	0.2717	0.0015	-0.0178	0.0975	-0.0686	-0.6934	0.0284	0.2342	-0.0186	0.0304	0.0931	-0.0084
-0.0245	0.0532	-0.0421	-0.0534	-0.1367	0.0153	-0.0384	0.0015	-0.1849	-0.0532	0.4875	-0.0073	0.0506	0.0480	0.1306	0.0596
-0.1539	-0.0287	0.0902	-0.1818	0.0440	-0.0647	0.0670	-0.0323	-0.0379	0.0854	-0.0011	0.3353	0.1724	0.0481	0.0016	0.0103
0.0043	-0.1210	-0.0385	0.0786	0.0755	0.5405	0.0038	0.4814	0.0139	-0.1980	-0.0845	-0.0119	0.0382	-0.0710	-0.2605	0.0559
0.5372	0.4618	-0.7677	-0.1463	-0.0616	0.0640	-1.2714	0.0247	-0.2252	0.1616	0.6664	0.1127	-1.2298	0.2068	-0.0702	0.0904
-0.1241	-0.4094	0.0458	-0.1397	0.0024	-0.0412	-0.1046	0.8609	0.6304	-0.1788	0.1284	-1.1977	-0.2087	-0.6999	0.1486	-0.4153
-0.1660	-0.3692	-0.0893	-0.0386	-0.1318	1.0630	-0.0333	-0.5998	-1.4337	-0.6401	0.1091	-0.2858	-0.0694	-0.0456	0.1389	0.1204
0.0472	-0.2031	-0.0510	0.0599	0.4276	0.7169	-0.8484	-0.0772	-0.1146	0.0394	-1.3640	0.0076	0.0247	0.1247	0.1230	0.1212
-0.0662	-0.8960	0.0318	-0.0074	0.0888	-0.0218	0.5659	0.0287	-0.1705	-0.3272	-0.1831	0.0534	0.1386	-0.1721	-0.0695	0.0290
-0.0106	-0.0397	-0.0271	-0.0189	-0.0020	-0.4095	-0.0523	-0.0165	0.1455	0.4193	0.1365	0.0096	0.0054	0.1416	0.3749	0.0809
-0.0692	0.3395	-0.0327	-0.2492	0.3389	0.0027	-0.6454	-0.2601	0.0859	-0.1782	0.0879	-1.9830	0.0607	-0.0055	-0.1212	-0.4023
0.0226	0.0083	0.0449	0.4716	0.0539	-1.2538	-0.0702	0.5443	0.0363	-0.1216	-0.1013	0.0371	0.0626	0.1183	-0.1851	0.1560
-0.2325	-0.2902	-0.0330	0.5243	0.0301	-0.0940	0.0490	-0.0494	-0.1264	0.0079	0.0209	-0.8456	-0.1089	1.6008	0.0606	-0.0115
-0.3016	-0.0683	-0.1287	0.0599	0.0136	0.0159	-0.0812	0.1679	-0.6772	-0.1350	-0.0504	-0.0222	0.5204	-0.0765	0.0386	0.0827
0.0559	-0.3612	0.0864	-0.2894	-0.2733	-0.0254	-0.0317	0.0354	0.5402	-0.3723	-0.1918	-0.1035	0.0241	-0.0315	-0.1041	1.2892
-0.3539	-0.0426	0.3326	0.2534	-0.0590	0.1705	0.1022	-0.0315	0.0133	0.7319	0.0000	0.1752	-0.3879	-0.0984	0.0571	0.0389
0.0214	-0.0407	0.0234	0.0130	-0.0094	0.0516	-0.6601	0.0156	-0.0326	-0.1991	-0.0093	-0.0148	0.6412	-0.0286	0.2211	0.0886
0.0477	-0.0923	0.0088	0.0658	0.0767	0.0373	-0.3950	0.0868	-0.0825	-0.1050	-0.1339	0.3333	-0.2679	0.0037	0.6115	0.4738
